Borough,Grade,Year,Category,Number Tested,Mean Scale Score
BRONX,3,2024,Asian,602,458
BRONX,3,2024,Black,2025,443
BRONX,3,2024,Hispanic,6649,442
BRONX,3,2024,Multi-Racial,93,455
BRONX,3,2024,Native American,104,441
BRONX,3,2024,White,468,456
BRONX,4,2024,Asian,555,463
BRONX,4,2024,Black,2233,443
BRONX,4,2024,Hispanic,6865,443
BRONX,4,2024,Multi-Racial,73,458
BRONX,4,2024,Native American,97,444
BRONX,4,2024,White,459,459
BRONX,5,2024,Asian,551,461
BRONX,5,2024,Black,2379,440
BRONX,5,2024,Hispanic,6752,441
BRONX,5,2024,Multi-Racial,87,454
BRONX,5,2024,Native American,118,446
BRONX,5,2024,White,448,457
BRONX,6,2024,Asian,551,463
BRONX,6,2024,Black,2266,439
BRONX,6,2024,Hispanic,7108,439
BRONX,6,2024,Multi-Racial,65,449
BRONX,6,2024,Native American,105,444
BRONX,6,2024,White,485,455
BRONX,7,2024,Asian,536,473
BRONX,7,2024,Black,2427,445
BRONX,7,2024,Hispanic,7084,446
BRONX,7,2024,Multi-Racial,59,457
BRONX,7,2024,Native American,141,447
BRONX,7,2024,White,400,458
BRONX,8,2024,Asian,321,456
BRONX,8,2024,Black,1733,438
BRONX,8,2024,Hispanic,5456,441
BRONX,8,2024,Multi-Racial,15,449
BRONX,8,2024,Native American,61,438
BRONX,8,2024,White,295,453
BRONX,All Grades,2024,Asian,3116,462
BRONX,All Grades,2024,Black,13063,441
BRONX,All Grades,2024,Hispanic,39914,442
BRONX,All Grades,2024,Multi-Racial,392,454
BRONX,All Grades,2024,Native American,626,444
BRONX,All Grades,2024,White,2555,456
BRONX,3,2023,Asian,565,458
BRONX,3,2023,Black,2257,441
BRONX,3,2023,Hispanic,6742,441
BRONX,3,2023,Multi-Racial,67,449
BRONX,3,2023,Native American,98,444
BRONX,3,2023,White,482,455
BRONX,4,2023,Asian,592,458
BRONX,4,2023,Black,2443,439
BRONX,4,2023,Hispanic,7281,438
BRONX,4,2023,Multi-Racial,83,454
BRONX,4,2023,Native American,113,449
BRONX,4,2023,White,514,456
BRONX,5,2023,Asian,581,460
BRONX,5,2023,Black,2535,438
BRONX,5,2023,Hispanic,7592,439
BRONX,5,2023,Multi-Racial,66,454
BRONX,5,2023,Native American,107,444
BRONX,5,2023,White,509,455
BRONX,6,2023,Asian,539,463
BRONX,6,2023,Black,2429,436
BRONX,6,2023,Hispanic,7114,438
BRONX,6,2023,Multi-Racial,59,449
BRONX,6,2023,Native American,133,441
BRONX,6,2023,White,443,450
BRONX,7,2023,Asian,558,463
BRONX,7,2023,Black,2622,440
BRONX,7,2023,Hispanic,7465,442
BRONX,7,2023,Multi-Racial,31,447
BRONX,7,2023,Native American,82,445
BRONX,7,2023,White,486,456
BRONX,8,2023,Asian,373,460
BRONX,8,2023,Black,1942,437
BRONX,8,2023,Hispanic,5886,439
BRONX,8,2023,Multi-Racial,28,445
BRONX,8,2023,Native American,76,445
BRONX,8,2023,White,350,448
BRONX,All Grades,2023,Asian,3208,460
BRONX,All Grades,2023,Black,14228,439
BRONX,All Grades,2023,Hispanic,42080,440
BRONX,All Grades,2023,Multi-Racial,334,451
BRONX,All Grades,2023,Native American,609,445
BRONX,All Grades,2023,White,2784,454
BRONX,3,2022,Asian,603,600
BRONX,3,2022,Black,2418,586
BRONX,3,2022,Hispanic,7144,586
BRONX,3,2022,Multi-Racial,83,596
BRONX,3,2022,Native American,117,591
BRONX,3,2022,White,509,597
BRONX,4,2022,Asian,607,599
BRONX,4,2022,Black,2530,583
BRONX,4,2022,Hispanic,7583,583
BRONX,4,2022,Multi-Racial,67,595
BRONX,4,2022,Native American,103,589
BRONX,4,2022,White,533,595
BRONX,5,2022,Asian,581,602
BRONX,5,2022,Black,2690,583
BRONX,5,2022,Hispanic,7553,585
BRONX,5,2022,Multi-Racial,62,594
BRONX,5,2022,Native American,127,587
BRONX,5,2022,White,474,594
BRONX,6,2022,Asian,558,601
BRONX,6,2022,Black,2520,584
BRONX,6,2022,Hispanic,7280,586
BRONX,6,2022,Multi-Racial,39,595
BRONX,6,2022,Native American,82,586
BRONX,6,2022,White,522,597
BRONX,7,2022,Asian,598,607
BRONX,7,2022,Black,2649,588
BRONX,7,2022,Hispanic,7454,589
BRONX,7,2022,Multi-Racial,49,595
BRONX,7,2022,Native American,109,595
BRONX,7,2022,White,498,598
BRONX,8,2022,Asian,415,605
BRONX,8,2022,Black,2163,588
BRONX,8,2022,Hispanic,6053,590
BRONX,8,2022,Multi-Racial,29,595
BRONX,8,2022,Native American,102,592
BRONX,8,2022,White,364,596
BRONX,All Grades,2022,Asian,3362,602
BRONX,All Grades,2022,Black,14970,585
BRONX,All Grades,2022,Hispanic,43067,586
BRONX,All Grades,2022,Multi-Racial,329,595
BRONX,All Grades,2022,Native American,640,590
BRONX,All Grades,2022,White,2900,596
BRONX,3,2019,Asian,637,604
BRONX,3,2019,Black,3448,591
BRONX,3,2019,Hispanic,9482,592
BRONX,3,2019,Multi-Racial,54,599
BRONX,3,2019,Native American,104,594
BRONX,3,2019,White,735,599
BRONX,4,2019,Asian,692,607
BRONX,4,2019,Black,3682,590
BRONX,4,2019,Hispanic,9754,592
BRONX,4,2019,Multi-Racial,64,600
BRONX,4,2019,Native American,126,597
BRONX,4,2019,White,728,601
BRONX,5,2019,Asian,655,606
BRONX,5,2019,Black,3789,590
BRONX,5,2019,Hispanic,9449,592
BRONX,5,2019,Multi-Racial,60,601
BRONX,5,2019,Native American,141,595
BRONX,5,2019,White,655,600
BRONX,6,2019,Asian,679,606
BRONX,6,2019,Black,3424,590
BRONX,6,2019,Hispanic,9200,591
BRONX,6,2019,Multi-Racial,67,599
BRONX,6,2019,Native American,135,597
BRONX,6,2019,White,624,602
BRONX,7,2019,Asian,680,609
BRONX,7,2019,Black,3671,591
BRONX,7,2019,Hispanic,9038,592
BRONX,7,2019,Multi-Racial,44,592
BRONX,7,2019,Native American,126,598
BRONX,7,2019,White,569,601
BRONX,8,2019,Asian,570,611
BRONX,8,2019,Black,3267,593
BRONX,8,2019,Hispanic,8053,595
BRONX,8,2019,Multi-Racial,36,597
BRONX,8,2019,Native American,132,601
BRONX,8,2019,White,560,605
BRONX,All Grades,2019,Asian,3913,607
BRONX,All Grades,2019,Black,21281,591
BRONX,All Grades,2019,Hispanic,54976,592
BRONX,All Grades,2019,Multi-Racial,325,598
BRONX,All Grades,2019,Native American,764,597
BRONX,All Grades,2019,White,3871,601
BRONX,3,2018,Asian,675,605
BRONX,3,2018,Black,3705,590
BRONX,3,2018,Hispanic,9795,591
BRONX,3,2018,Multi-Racial,86,597
BRONX,3,2018,Native American,123,594
BRONX,3,2018,White,798,598
BRONX,4,2018,Asian,664,604
BRONX,4,2018,Black,3873,590
BRONX,4,2018,Hispanic,9622,590
BRONX,4,2018,Multi-Racial,60,600
BRONX,4,2018,Native American,142,594
BRONX,4,2018,White,729,599
BRONX,5,2018,Asian,683,604
BRONX,5,2018,Black,3798,589
BRONX,5,2018,Hispanic,9833,591
BRONX,5,2018,Multi-Racial,57,597
BRONX,5,2018,Native American,148,595
BRONX,5,2018,White,689,600
BRONX,6,2018,Asian,664,605
BRONX,6,2018,Black,3713,589
BRONX,6,2018,Hispanic,9034,589
BRONX,6,2018,Multi-Racial,41,593
BRONX,6,2018,Native American,136,592
BRONX,6,2018,White,579,597
BRONX,7,2018,Asian,722,607
BRONX,7,2018,Black,3684,589
BRONX,7,2018,Hispanic,9151,590
BRONX,7,2018,Multi-Racial,37,598
BRONX,7,2018,Native American,147,594
BRONX,7,2018,White,642,601
BRONX,8,2018,Asian,521,608
BRONX,8,2018,Black,3311,594
BRONX,8,2018,Hispanic,7818,594
BRONX,8,2018,Multi-Racial,25,602
BRONX,8,2018,Native American,123,596
BRONX,8,2018,White,550,601
BRONX,All Grades,2018,Asian,3929,605
BRONX,All Grades,2018,Black,22084,590
BRONX,All Grades,2018,Hispanic,55253,591
BRONX,All Grades,2018,Multi-Racial,306,597
BRONX,All Grades,2018,Native American,819,594
BRONX,All Grades,2018,White,3987,599
BROOKLYN,3,2024,Asian,3526,466
BROOKLYN,3,2024,Black,3143,447
BROOKLYN,3,2024,Hispanic,4504,444
BROOKLYN,3,2024,Multi-Racial,390,468
BROOKLYN,3,2024,Native American,139,448
BROOKLYN,3,2024,White,3494,462
BROOKLYN,4,2024,Asian,3498,475
BROOKLYN,4,2024,Black,3272,450
BROOKLYN,4,2024,Hispanic,4619,447
BROOKLYN,4,2024,Multi-Racial,346,470
BROOKLYN,4,2024,Native American,94,451
BROOKLYN,4,2024,White,3466,467
BROOKLYN,5,2024,Asian,3237,471
BROOKLYN,5,2024,Black,3397,443
BROOKLYN,5,2024,Hispanic,4278,444
BROOKLYN,5,2024,Multi-Racial,299,469
BROOKLYN,5,2024,Native American,120,449
BROOKLYN,5,2024,White,3170,462
BROOKLYN,6,2024,Asian,3812,473
BROOKLYN,6,2024,Black,3589,443
BROOKLYN,6,2024,Hispanic,4867,441
BROOKLYN,6,2024,Multi-Racial,286,465
BROOKLYN,6,2024,Native American,125,446
BROOKLYN,6,2024,White,3048,462
BROOKLYN,7,2024,Asian,3429,483
BROOKLYN,7,2024,Black,3729,448
BROOKLYN,7,2024,Hispanic,4951,448
BROOKLYN,7,2024,Multi-Racial,321,469
BROOKLYN,7,2024,Native American,120,453
BROOKLYN,7,2024,White,2881,472
BROOKLYN,8,2024,Asian,2259,481
BROOKLYN,8,2024,Black,2844,443
BROOKLYN,8,2024,Hispanic,2962,445
BROOKLYN,8,2024,Multi-Racial,101,457
BROOKLYN,8,2024,Native American,106,452
BROOKLYN,8,2024,White,1718,465
BROOKLYN,All Grades,2024,Asian,19761,475
BROOKLYN,All Grades,2024,Black,19974,446
BROOKLYN,All Grades,2024,Hispanic,26181,445
BROOKLYN,All Grades,2024,Multi-Racial,1743,467
BROOKLYN,All Grades,2024,Native American,704,450
BROOKLYN,All Grades,2024,White,17777,465
BROOKLYN,3,2023,Asian,3522,468
BROOKLYN,3,2023,Black,3248,449
BROOKLYN,3,2023,Hispanic,4323,447
BROOKLYN,3,2023,Multi-Racial,294,466
BROOKLYN,3,2023,Native American,91,450
BROOKLYN,3,2023,White,3450,463
BROOKLYN,4,2023,Asian,3478,471
BROOKLYN,4,2023,Black,3314,446
BROOKLYN,4,2023,Hispanic,4522,445
BROOKLYN,4,2023,Multi-Racial,285,472
BROOKLYN,4,2023,Native American,127,452
BROOKLYN,4,2023,White,3324,464
BROOKLYN,5,2023,Asian,3854,470
BROOKLYN,5,2023,Black,3768,443
BROOKLYN,5,2023,Hispanic,4794,443
BROOKLYN,5,2023,Multi-Racial,220,467
BROOKLYN,5,2023,Native American,114,446
BROOKLYN,5,2023,White,3296,463
BROOKLYN,6,2023,Asian,3402,473
BROOKLYN,6,2023,Black,3837,441
BROOKLYN,6,2023,Hispanic,4796,441
BROOKLYN,6,2023,Multi-Racial,315,460
BROOKLYN,6,2023,Native American,117,447
BROOKLYN,6,2023,White,2899,462
BROOKLYN,7,2023,Asian,3352,477
BROOKLYN,7,2023,Black,3668,445
BROOKLYN,7,2023,Hispanic,4845,445
BROOKLYN,7,2023,Multi-Racial,166,469
BROOKLYN,7,2023,Native American,147,449
BROOKLYN,7,2023,White,3010,467
BROOKLYN,8,2023,Asian,2642,474
BROOKLYN,8,2023,Black,3325,440
BROOKLYN,8,2023,Hispanic,3426,443
BROOKLYN,8,2023,Multi-Racial,80,454
BROOKLYN,8,2023,Native American,103,441
BROOKLYN,8,2023,White,1985,461
BROOKLYN,All Grades,2023,Asian,20250,472
BROOKLYN,All Grades,2023,Black,21160,444
BROOKLYN,All Grades,2023,Hispanic,26706,444
BROOKLYN,All Grades,2023,Multi-Racial,1360,466
BROOKLYN,All Grades,2023,Native American,699,448
BROOKLYN,All Grades,2023,White,17964,463
BROOKLYN,3,2022,Asian,3437,608
BROOKLYN,3,2022,Black,3328,592
BROOKLYN,3,2022,Hispanic,4459,591
BROOKLYN,3,2022,Multi-Racial,271,609
BROOKLYN,3,2022,Native American,127,592
BROOKLYN,3,2022,White,3285,605
BROOKLYN,4,2022,Asian,3831,610
BROOKLYN,4,2022,Black,3708,588
BROOKLYN,4,2022,Hispanic,4587,589
BROOKLYN,4,2022,Multi-Racial,242,607
BROOKLYN,4,2022,Native American,121,592
BROOKLYN,4,2022,White,3149,605
BROOKLYN,5,2022,Asian,3528,611
BROOKLYN,5,2022,Black,4085,588
BROOKLYN,5,2022,Hispanic,4727,589
BROOKLYN,5,2022,Multi-Racial,238,606
BROOKLYN,5,2022,Native American,112,593
BROOKLYN,5,2022,White,3102,605
BROOKLYN,6,2022,Asian,3335,611
BROOKLYN,6,2022,Black,3821,587
BROOKLYN,6,2022,Hispanic,4722,588
BROOKLYN,6,2022,Multi-Racial,216,607
BROOKLYN,6,2022,Native American,148,589
BROOKLYN,6,2022,White,2845,605
BROOKLYN,7,2022,Asian,3554,614
BROOKLYN,7,2022,Black,4013,589
BROOKLYN,7,2022,Hispanic,4835,592
BROOKLYN,7,2022,Multi-Racial,223,609
BROOKLYN,7,2022,Native American,137,591
BROOKLYN,7,2022,White,2857,608
BROOKLYN,8,2022,Asian,2173,615
BROOKLYN,8,2022,Black,3455,590
BROOKLYN,8,2022,Hispanic,3224,591
BROOKLYN,8,2022,Multi-Racial,89,604
BROOKLYN,8,2022,Native American,84,594
BROOKLYN,8,2022,White,1571,605
BROOKLYN,All Grades,2022,Asian,19858,611
BROOKLYN,All Grades,2022,Black,22410,589
BROOKLYN,All Grades,2022,Hispanic,26554,590
BROOKLYN,All Grades,2022,Multi-Racial,1279,607
BROOKLYN,All Grades,2022,Native American,729,592
BROOKLYN,All Grades,2022,White,16809,606
BROOKLYN,3,2019,Asian,3728,611
BROOKLYN,3,2019,Black,4963,595
BROOKLYN,3,2019,Hispanic,5780,596
BROOKLYN,3,2019,Multi-Racial,258,609
BROOKLYN,3,2019,Native American,150,598
BROOKLYN,3,2019,White,4072,608
BROOKLYN,4,2019,Asian,3960,614
BROOKLYN,4,2019,Black,5357,593
BROOKLYN,4,2019,Hispanic,5966,596
BROOKLYN,4,2019,Multi-Racial,261,610
BROOKLYN,4,2019,Native American,149,597
BROOKLYN,4,2019,White,4037,610
BROOKLYN,5,2019,Asian,3987,614
BROOKLYN,5,2019,Black,5482,593
BROOKLYN,5,2019,Hispanic,5824,595
BROOKLYN,5,2019,Multi-Racial,197,609
BROOKLYN,5,2019,Native American,122,599
BROOKLYN,5,2019,White,3756,609
BROOKLYN,6,2019,Asian,3882,614
BROOKLYN,6,2019,Black,5632,592
BROOKLYN,6,2019,Hispanic,5815,592
BROOKLYN,6,2019,Multi-Racial,268,610
BROOKLYN,6,2019,Native American,145,596
BROOKLYN,6,2019,White,3673,609
BROOKLYN,7,2019,Asian,3793,616
BROOKLYN,7,2019,Black,5495,594
BROOKLYN,7,2019,Hispanic,5634,596
BROOKLYN,7,2019,Multi-Racial,171,614
BROOKLYN,7,2019,Native American,126,596
BROOKLYN,7,2019,White,3566,612
BROOKLYN,8,2019,Asian,3187,620
BROOKLYN,8,2019,Black,5135,595
BROOKLYN,8,2019,Hispanic,4847,597
BROOKLYN,8,2019,Multi-Racial,122,611
BROOKLYN,8,2019,Native American,116,600
BROOKLYN,8,2019,White,2648,613
BROOKLYN,All Grades,2019,Asian,22537,615
BROOKLYN,All Grades,2019,Black,32064,594
BROOKLYN,All Grades,2019,Hispanic,33866,595
BROOKLYN,All Grades,2019,Multi-Racial,1277,610
BROOKLYN,All Grades,2019,Native American,808,598
BROOKLYN,All Grades,2019,White,21752,610
BROOKLYN,3,2018,Asian,3987,611
BROOKLYN,3,2018,Black,5421,593
BROOKLYN,3,2018,Hispanic,6044,595
BROOKLYN,3,2018,Multi-Racial,251,608
BROOKLYN,3,2018,Native American,160,596
BROOKLYN,3,2018,White,4139,608
BROOKLYN,4,2018,Asian,4018,613
BROOKLYN,4,2018,Black,5704,594
BROOKLYN,4,2018,Hispanic,5890,595
BROOKLYN,4,2018,Multi-Racial,193,608
BROOKLYN,4,2018,Native American,124,601
BROOKLYN,4,2018,White,3805,609
BROOKLYN,5,2018,Asian,3949,613
BROOKLYN,5,2018,Black,5796,592
BROOKLYN,5,2018,Hispanic,5959,594
BROOKLYN,5,2018,Multi-Racial,214,608
BROOKLYN,5,2018,Native American,156,596
BROOKLYN,5,2018,White,3835,608
BROOKLYN,6,2018,Asian,3757,613
BROOKLYN,6,2018,Black,5695,591
BROOKLYN,6,2018,Hispanic,5668,593
BROOKLYN,6,2018,Multi-Racial,179,611
BROOKLYN,6,2018,Native American,138,594
BROOKLYN,6,2018,White,3528,609
BROOKLYN,7,2018,Asian,3612,614
BROOKLYN,7,2018,Black,5822,591
BROOKLYN,7,2018,Hispanic,5638,594
BROOKLYN,7,2018,Multi-Racial,180,612
BROOKLYN,7,2018,Native American,126,594
BROOKLYN,7,2018,White,3520,610
BROOKLYN,8,2018,Asian,3121,619
BROOKLYN,8,2018,Black,5141,596
BROOKLYN,8,2018,Hispanic,4757,596
BROOKLYN,8,2018,Multi-Racial,112,612
BROOKLYN,8,2018,Native American,102,597
BROOKLYN,8,2018,White,2675,611
BROOKLYN,All Grades,2018,Asian,22444,614
BROOKLYN,All Grades,2018,Black,33579,593
BROOKLYN,All Grades,2018,Hispanic,33956,594
BROOKLYN,All Grades,2018,Multi-Racial,1129,609
BROOKLYN,All Grades,2018,Native American,806,596
BROOKLYN,All Grades,2018,White,21502,609
MANHATTAN,3,2024,Asian,898,478
MANHATTAN,3,2024,Black,721,441
MANHATTAN,3,2024,Hispanic,2466,444
MANHATTAN,3,2024,Multi-Racial,314,475
MANHATTAN,3,2024,Native American,36,454
MANHATTAN,3,2024,White,1534,473
MANHATTAN,4,2024,Asian,848,488
MANHATTAN,4,2024,Black,758,441
MANHATTAN,4,2024,Hispanic,2531,446
MANHATTAN,4,2024,Multi-Racial,340,482
MANHATTAN,4,2024,Native American,29,454
MANHATTAN,4,2024,White,1421,482
MANHATTAN,5,2024,Asian,812,486
MANHATTAN,5,2024,Black,720,439
MANHATTAN,5,2024,Hispanic,2120,446
MANHATTAN,5,2024,Multi-Racial,279,480
MANHATTAN,5,2024,Native American,13,457
MANHATTAN,5,2024,White,1410,477
MANHATTAN,6,2024,Asian,886,482
MANHATTAN,6,2024,Black,756,440
MANHATTAN,6,2024,Hispanic,2531,443
MANHATTAN,6,2024,Multi-Racial,281,478
MANHATTAN,6,2024,Native American,27,439
MANHATTAN,6,2024,White,1331,475
MANHATTAN,7,2024,Asian,830,492
MANHATTAN,7,2024,Black,835,446
MANHATTAN,7,2024,Hispanic,2706,449
MANHATTAN,7,2024,Multi-Racial,303,485
MANHATTAN,7,2024,Native American,28,462
MANHATTAN,7,2024,White,1287,487
MANHATTAN,8,2024,Asian,129,477
MANHATTAN,8,2024,Black,425,436
MANHATTAN,8,2024,Hispanic,1219,447
MANHATTAN,8,2024,Multi-Racial,27,472
MANHATTAN,8,2024,Native American,12,442
MANHATTAN,8,2024,White,248,468
MANHATTAN,All Grades,2024,Asian,4403,485
MANHATTAN,All Grades,2024,Black,4215,441
MANHATTAN,All Grades,2024,Hispanic,13573,446
MANHATTAN,All Grades,2024,Multi-Racial,1544,480
MANHATTAN,All Grades,2024,Native American,145,452
MANHATTAN,All Grades,2024,White,7231,478
